,Unnamed: 0,PlaylistID,PlaylistName,Category,SubCategory,AvgDuration
133,549,4691,Để được trọng dụng và đãi ngộ,Sách nói,Kỹ năng,49.44
134,133,4168,[Sách Tóm Tắt] Tương Lai Nghề Nghiệp Của Tôi,Sách tóm tắt,Sách tóm tắt,49.2
135,557,4700,Inbound PR - Dịch chuyển hoạt động PR theo mô hình Inbound,Sách nói,Marketing,49.2
136,426,4537,Những Vị Vua Trẻ Trong Sử Việt - Tập 2,Sách nói,Lịch sử,48.65000000000001
137,75,3945,[Sách Tóm Tắt] Cổ Phiếu Thường Lợi Nhuận Phi Thường,Sách tóm tắt,Sách tóm tắt,48.4
138,588,4734,Ngọc sáng trong hoa sen,Sách nói,Tâm linh,48.25882352941177
139,550,4692,You Can Win - Bí Quyết Của Người Chiến Thắng,Sách nói,Thành công,48.15
140,400,4506,Tiệm Bánh Mì Podcast,Podcast,Văn hoá,48.09999999999999
141,855,5086,Đi Ra Từ Bóng Tối,Truyện nói,Văn học Quốc tế Hiện đại,47.36666666666665
142,923,5175,Cải Tổ Doanh Nghiệp Trong Thời Đại Số,Sách nói,Kinh doanh,47.3
143,160,4196,Phụ Nữ Nghĩ Giàu Và Làm Giàu,Sách nói,Kinh doanh,47.21428571428572
144,30,3886,Nội Tình Của Ngoại Tình,Sách nói,Lứa đôi,47.16666666666667
145,161,4197,Siêu Tập Trung,Sách nói,Kỹ năng,47.08461538461538
146,822,5038,OSHO - Hạnh Phúc Tại Tâm,Sách nói,Hạnh phúc,46.95
147,181,4222,Ai Cũng Có Những Ngày TồI Tệ,Truyện nói,Văn học VN Hiện đại,46.91428571428572
148,141,4177,Cuộc Cách Mạng AI,Sách nói,Công nghệ,46.63846153846153
149,548,4690,Câu Hỏi Là Câu Trả Lời,Sách nói,Kinh doanh,46.33076923076923
150,421,4530,Cầu Vồng Lúc Nửa Đêm,Truyện nói,Ngôn tình,46.1
151,912,5159,7 Thói Quen Hiệu Quả - 7 habits of highly effective people,Sách nói,Kỹ năng,45.8925925925926
152,52,3909,Kỹ Năng Bán Hàng Tuyệt Đỉnh,Sách nói,Kinh doanh,45.8657142857143
153,507,4637,Chicken Soup For The Soul - Những tâm hồn cao thượng,Sách nói,Thành công,45.81428571428572
154,424,4534,Mẹ Đức Dạy Con Kỷ Luật,Sách nói,Con cái,45.64
155,537,4678,Cởi Trói Linh Hồn,Sách nói,Tâm linh,45.43703703703704
156,755,4952,Đêm Tối Và Ánh Sáng,Truyện nói,Văn học Quốc tế Hiện đại,45.35
157,504,4631,Vị Tu Sĩ Bán Chiếc Ferrari,Sách nói,Thành công,45.17096774193548
158,951,5212,Hội Chợ Phù Hoa 1,Truyện nói,Kinh điển Quốc tế,45.05
159,42,3898,Không Diệt Không Sinh Đừng Sợ Hãi - Thích Nhất Hạnh,Sách nói,Tâm linh,44.971875
160,244,4310,Nghiện Giấc Mơ Bơ Lối Mòn,Sách nói,Thành công,44.5
161,510,4646,Hoa Trôi Trên Sóng Nước,Sách nói,Tâm linh,44.33125
162,767,4970,Bước Đường Cùng,Truyện nói,Kinh điển Việt Nam,44.25
163,745,4942,7 Ảo Tưởng Tình Yêu,Sách nói,Lứa đôi,44.10000000000001
164,864,5096,Sự Thật Về Hòn Đá Phù Thủy,Truyện nói,Văn học Quốc tế Hiện đại,44.1
165,960,5225,Bí Mật Một Khu Rừng,Thiếu nhi,Thiếu nhi,43.7
166,88,4019,[Sách Tóm Tắt] Lãnh Đạo Phong Cách Barack Obama,Sách tóm tắt,Sách tóm tắt,43.55
167,701,4881,"Không Bao Giờ Là Thất Bại, Tất Cả Chỉ Là Thử Thách",Sách nói,Danh nhân,43.40000000000001
168,614,4775,Người Giàu Có Nhất Thành Babylon,Sách nói,Kinh doanh,43.2846153846154
169,821,5037,Để Trở Thành Người Bán Hàng Xuất Sắc,Sách nói,Kinh doanh,42.8
170,761,4960,Trễ Còn Hơn Không Bao Giờ 1,Sách nói,Hạnh phúc,42.775
171,756,4953,Hector Và Hành Trình Cứu Tình Yêu,Sách nói,Hạnh phúc,42.76666666666666
172,677,4853,Trẻ em như ngọc như gương,Sách nói,Con cái,42.75
173,138,4173,Chạy đua với Robot,Sách nói,Công nghệ,42.33333333333334
174,551,4694,Đàn Ông Sao Hỏa - Đàn Bà Sao Kim (Hạnh Phúc Bên Nhau),Sách nói,Lứa đôi,42.25833333333333
175,668,4843,Nghệ Thuật Bán Hàng Của Người Do Thái - Bí Quyết Marketing Sáng Tạo,Sách nói,Marketing,42.16428571428572
176,944,5204,Cùng Bé Khám Phá Tác Phẩm Kinh Điển - Hồng Lâu Mộng,Thiếu nhi,Thiếu nhi,42.0
177,564,4707,Lãnh Đạo Bằng Sức Mạnh Trí Tuệ Cảm Xúc,Sách nói,Lãnh đạo,41.85454545454545
178,25,3881,Truyện Ma - Tâm Linh Dân Gian,Podcast,Kinh dị,41.8
179,606,4766,Người Mẹ Tốt Hơn Là Người Thầy Tốt,Sách nói,Con cái,41.72380952380953
180,51,3908,"Tôi, Tương Lai Và Thế Giới",Sách nói,Thành công,41.59333333333333
181,64,3923,Phong Độ Cực Đỉnh,Sách nói,Kỹ năng,41.56
182,19,3875,Vượt Khỏi Giới Hạn,Sách nói,Thành công,41.44285714285714
183,572,4715,Cho đi là còn mãi,Sách nói,Hạnh phúc,41.16666666666666
184,768,4972,Chuông Nguyện Hồn Ai,Truyện nói,Kinh điển Quốc tế,41.15
185,148,4184,Huy Động Vốn: Khó Mà Dễ,Sách nói,Kinh doanh,41.15
186,835,5054,Câu chuyện nhà quản lý cà rốt và nghệ thuật khen thưởng,Sách nói,Lãnh đạo,41.15
187,883,5118,Để Con Bạn Giỏi Như Einstein,Sách nói,Con cái,41.05
188,277,4357,Điểm Tin Quốc Tế,Podcast,Tin tức,40.82777777777778
189,261,4332,Thuyết Trình Như Bản Tình Ca,Podcast,Kiến thức,40.46666666666666
190,531,4671,Làm điều quan trọng,Sách nói,Kinh doanh,40.43684210526316
191,902,5148,Người Đi Tìm Tặng Vật Của Biển,Sách nói,Hạnh phúc,40.3
192,126,4160,[Sách Tóm Tắt] Tư Duy Có Hệ Thống,Sách tóm tắt,Sách tóm tắt,40.05
193,793,5001,GAM7 No 2: Saturation - Điểm Bão Hòa,Sách nói,Marketing,39.9
194,810,5026,Kinh Mi Tiên Vấn Đáp,Podcast,Pháp thoại,39.7
195,884,5119,Những Câu Chuyện Tâm Linh,Sách nói,Tâm linh,39.51428571428572
196,700,4880,Chạm Yêu ,Truyện nói,Văn học Quốc tế Hiện đại,39.5
